Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,Timescale,Magnitude,Risk description,Current population,Population year,City Location
35862,City of Detroit,Detroit,United States of America,North America,public,,2018,Inadequate or ageing infrastructure,Current,Serious,NA,673104,2017,"(42.3314, -83.0457)"
35863,City of Durban,Durban,South Africa,Africa,public,C40,2018,Inadequate or ageing infrastructure,Long-term,NA,Vulnerability of the Central Sewage Treatment Works.,38201740,2016,"(-29.8587, 31.0218)"
35863,City of Durban,Durban,South Africa,Africa,public,C40,2018,Inadequate or ageing infrastructure,Medium-term,NA,Average potential increase in the dams,38201740,2016,"(-29.8587, 31.0218)"
35863,City of Durban,Durban,South Africa,Africa,public,C40,2018,Inadequate or ageing infrastructure,NA,NA,aging infrastructure and a growing population requiring servicing mean that wastewater incursions into water supply are becoming more frequent with serious water quality impacts.,38201740,2016,"(-29.8587, 31.0218)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,public,,2018,Increased water stress or scarcity,Long-term,NA,"Water security in the region is  high risk. Ensuring a stable supply with the changes in population, city development and climate change is increasing difficult. Changes in rain patterns and evaporation rate will hamper current planning scenarios.",3379104,2016,"(-26.1777, 28.3462)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,public,,2018,NA,Short-term,NA,"Climate change prediction. Over development and increased runoff. Degradation of natural flood zones, flood zone encroachment and high intensity rainfall due to changes in climatic patterns.",3379104,2016,"(-26.1777, 28.3462)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,public,,2018,Inadequate or ageing infrastructure,Current,NA,"Infrastructure built in low lying areas i.e. sewer network and storm water system, follows the natural elevation of the land which integrates with the rivers and streams in the region.",3379104,2016,"(-26.1777, 28.3462)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,public,,2018,Declining water quality,Current,NA,Pollution of water bodies within the region. Sewage leaks and industrial pollution. Increased temperature causes stress on the system.,3379104,2016,"(-26.1777, 28.3462)"
35865,Municipality of Fortaleza,Fortaleza,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Short-term,Serious,Os reservatÃ³rios que abastecem a cidade de Fortaleza jÃ¡ se encontram operando abaixo do volume ideal apÃ³s um perÃ­odo de 7 anos de chuvas bem abaixo da mÃ©dia.,2627.482,2017,"(-10.7183, -48.3936)"
35867,Region Metropolitana de Guadalajara,Guadalajara,Mexico,Latin America,public,C40,2018,Increased water stress or scarcity,Long-term,NA,La disponibilidad de agua para la ciudad  se vera mermado si esta no se utiliza de forma racional.,1460148,2015,"(20.6597, -103.35)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,public,,2018,Declining water quality,Current,Extremely serious,"Due to climate change, more frequent occurrence of extreme hydrological events exposes the fragility of resource management. In addition, with the reduced availability of water, there is a higher concentration of pollutants, thus affecting the quality of flow.",1182429,2017,"(-22.744, -46.9372)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,public,,2018,Inadequate or ageing infrastructure,Current,Serious,"The lack of adequate long-term planning so far has exposed the system to conditions of maintenance and operation short of ideal. Today, however, Campinas disposes of future scenarios and investment planning to modernize the infrastructure of supply.",1182429,2017,"(-22.744, -46.9372)"
50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,public,,2018,Declining water quality,Long-term,Extremely serious,Desarrollo de proyectos de gran minerÃ­a en zonas estratÃ©gicas de recarga hÃ­drica.,516.512,2005,"(7.11034, -73.1227)"
35872,Municipality of Recife,Recife,Brazil,Latin America,public,,2018,Declining water quality,Medium-term,Extremely serious,"Apesar haver poucos e desagregados estudos sobre o assunto, podemos estimar que os aquÃ­feros da cidade correm o risco de salinizaÃ§Ã£o e contaminaÃ§Ã£o em razÃ£o da perfuraÃ§Ã£o indiscriminada de poÃ§os privados. Conforme estudos publicados, a escassez provocada pelo aumento da estiagem no Nordeste do Brasil pode levar a populaÃ§Ã£o Ã  recorrer a serviÃ§os de furo de poÃ§os tubulares de uso privado. Um dos principais problemas dos poÃ§os privados Ã© que muitos se tornam salinizados e sÃ£o perdidos e abandonados. Uma das provÃ¡veis causas da salinizaÃ§Ã£o Ã© a intrusÃ£o de Ã¡guas salinas do mar induzida pelo bombeamento desordenado. O bombeamento dos poÃ§os faz com que as Ã¡guas salgadas de canais e estuÃ¡rios, alÃ©m de paleomangues (sedimentos que tiveram contato com Ã¡guas salgadas, quando o nÃ­vel do mar era mais alto), penetrem no aquÃ­fero, provocando sua salinizaÃ§Ã£o. Uma vez salinizados os poÃ§os e o aquÃ­fero hÃ¡ pouco o que fazer. As tecnologias de dessalinizaÃ§Ã£o sÃ£o limitadas e os sistemas de tratamento individual de Ã¡gua salgada de poÃ§os sÃ£o muito caros. Ã‰ possÃ­vel observarmos o aumento da procura por esses serviÃ§os sempre que hÃ¡ problemas prolongados no abastecimento de Ã¡gua da cidade. Se a escassez da regiÃ£o causada pelas alteraÃ§Ãµes climÃ¡ticas for confirmada, o novo status quo vai modificar a dinÃ¢mica da gestÃ£o hÃ­drica da cidade.",1633697,2017,"(-8.05783, -34.8829)"
35873,Municipality of MedellÃ­n,MedellÃ­n,Colombia,Latin America,public,C40,2018,Increased water stress or scarcity,Long-term,Serious,NA,2464.322,2015,"(6.22729, -75.5735)"
35873,Municipality of MedellÃ­n,MedellÃ­n,Colombia,Latin America,public,C40,2018,Declining water quality,Long-term,Serious,NA,2464.322,2015,"(6.22729, -75.5735)"
35874,City of Phoenix,Phoenix,United States of America,North America,public,,2018,Increased water stress or scarcity,Long-term,Serious,"Phoenix, because of its desert environment, has had a long history of progressive water planning.  Phoenix is well positioned to maintain an adequate water supply through approximately 2050.  After that time, it is difficult to forecast at this time.",1615017,2016,"(33.4484, -112.074)"
35874,City of Phoenix,Phoenix,United States of America,North America,public,,2018,Higher water prices,Long-term,Serious,"Phoenix, because of its desert environment, has had a long history of progressive water planning.  Phoenix is well positioned to maintain an adequate water supply through approximately 2050.  After that time, it is difficult to forecast at this time.",1615017,2016,"(33.4484, -112.074)"
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,public,,2018,Inadequate or ageing infrastructure,Short-term,NA,"locks and dams keep the river artificially high, but they are decades past their life expectancy, and if the lock downstream fails, the City's only potable water intake at the water treatment plant will not be able to draw in water.",305704,2016,"(40.4406, -79.9959)"
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,public,,2018,Increased water stress or scarcity,Medium-term,NA,"If we do not fix the infrastructure flaws in our water supply system and we lose the Pittsburgh pool, the City only has a two day supply of water, but half of potable water is lost through old pipes",305704,2016,"(40.4406, -79.9959)"
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,public,,2018,Declining water quality,Current,NA,"Pittsburgh struggles with combined sewer overflows, and a tenth of an inch of rain releases raw sewage into the rivers. There are also aging railroad tracks along all of the rivers with trains carrying hazardous and toxic materials. If a train derails, it could contaminate the water",305704,2016,"(40.4406, -79.9959)"
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,public,,2018,NA,Current,NA,"Pittsburgh's geography and impervious surfaces have caused fatal flash floods. River flooding is controlled by the aging lock and dam system, and a failure to an upstream lock and dam would flood downtown.",305704,2016,"(40.4406, -79.9959)"
35878,City of Sacramento,Sacramento,United States of America,North America,public,,2018,Increased water stress or scarcity,Medium-term,NA,The State of California declared a drought and emergency restrictions on water use in May 2015. The Sacramento region continues to reduce water use and prepare for ongoing drought conditions.,495234,2016,"(38.5816, -121.494)"
35879,City of Minneapolis,Minneapolis,United States of America,North America,public,,2018,Increased water stress or scarcity,Medium-term,Less Serious,"Long duration droughts may reduce flow from the Mississippi River on short or medium term time horizons, which would reduce our source of water",419952,2016,"(44.9833, -93.2667)"
35883,City of San JosÃ©,"San JosÃ©, CA",United States of America,North America,public,,2018,Increased water stress or scarcity,Long-term,Serious,"The projected growth in population and jobs in the City has resulted in the Santa Clara Valley Water District forecasting that water demand will exceed supply by 2030 during normal years. In addition, other challenges are redefining what constitutes a normal year. Currently, these challenges include reduced precipitation and reductions in allocation of imported water due to pumping restrictions in the Sacramento-San Joaquin River Delta. Long term, these challenges include risks to the Delta that impact water supply and quality, rising capital costs to construct and repair infrastructure, mounting regulations, contract negotiations to preserve existing imported water allocations, ecological need to maintain flows for fish and other aquatic species, depletion of underground water supplies resulting in subsidence, and adverse impacts from global climate change. These challenges present the need for the City to set an ambitious goal for water conservation and increase its efforts to meet that goal. The Santa Clara Valley Water District is currently working to develop a new reservoir to increase capacity.",1046079,2017,"(37.3382, -121.886)"
35893,City of Dar es Salaam,Dar es Salaam,United Republic of Tanzania,Africa,public,C40,2018,Inadequate or ageing infrastructure,Current,Serious,Replacement of agedinfrastructure and reinnovationof existing one,6041000,2017,"(-6.79235, 39.2083)"
35893,City of Dar es Salaam,Dar es Salaam,United Republic of Tanzania,Africa,public,C40,2018,Increased water stress or scarcity,Current,Serious,public awareness andeducation on water usageand conservation,6041000,2017,"(-6.79235, 39.2083)"
50544,"City of Aurora, IL",Aurora,United States of America,North America,public,,2018,Declining water quality,Long-term,Serious,NA,203195,2017,"(88.3201, 41.7606)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,public,,2018,Inadequate or ageing infrastructure,Current,Less Serious,"The increase in the intensity of rainfall and the increased frequency of flooding points lead to situations of breakdown of the distribution network. Often, the company responsible for the supply needs to operate maintenance in parts of the network that were damaged. Moreover, the high rate of soil sealing has caused part of the precipitation to not infiltrate into the soil to recharge groundwater, thus causing loss of volume of water in the basin.",1182429,2017,"(-22.744, -46.9372)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,public,,2018,Higher water prices,Short-term,Extremely serious,"The price of water supply in Campinas has at least 2 components: not only the cost of treatment but also the cost of catchment itself. That's because Campinas is inserted in a watershed that already charges for water use since 2006. Worsening water quality increases the cost of treatment and greater water stress raises the cost of catchment, as it puts more pressure on a scarce resource of great economic value.",1182429,2017,"(-22.744, -46.9372)"
35902,City of Nagoya,Nagoya,Japan,East Asia,public,,2018,NA,NA,Serious,????????????????????????????,2303070,2017,"(35.1815, 136.906)"
35902,City of Nagoya,Nagoya,Japan,East Asia,public,,2018,Declining water quality,NA,NA,NA,2303070,2017,"(35.1815, 136.906)"
35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,public,C40,2018,NA,Current,NA,"Kolkata is currently ranked as the third most vulnerable city in the world from coastal flooding. Kolkataâ€™s slums are highly vulnerable to floods and cyclones because of poor construction materials, weak social structures and their vulnerable locations. Some are located in highly vulnerable zones that were previously low-lying wetlands surrounded by vast water bodies into which sewage flows from the city.",14030000,2011,"(22.5726, 88.3639)"
35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,public,C40,2018,NA,Short-term,NA,53% of the boroughs within Kolkata Municipal Corporation show a ground water level decline of 0.13 mts per year.,14030000,2011,"(22.5726, 88.3639)"
35913,City of Nairobi,Nairobi,Kenya,Africa,public,C40,2018,Increased water stress or scarcity,Current,Serious,Water supply is dependent on weather,4500000,2017,"(-1.29206, 36.8219)"
35913,City of Nairobi,Nairobi,Kenya,Africa,public,C40,2018,Declining water quality,Short-term,Serious,pollution of underground and ground water,4500000,2017,"(-1.29206, 36.8219)"
36036,City of Ibadan,Ibadan,Nigeria,Africa,public,,2018,Declining water quality,Current,Serious,Sanitation and Health Issues,5591589,2011,"(7.37753, 3.94704)"
36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,public,,2018,Declining water quality,Current,NA,In winter there are periods of outages drinking water turbidity spikes that prevent their trababilidad.,2369829,2015,"(3.45164, -76.532)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,public,,2018,Increased water stress or scarcity,Short-term,NA,NA,2440000,2017,"(9.07647, 7.39857)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,public,,2018,Inadequate or ageing infrastructure,Medium-term,NA,NA,2440000,2017,"(9.07647, 7.39857)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,public,,2018,Higher water prices,Short-term,NA,NA,2440000,2017,"(9.07647, 7.39857)"
36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,public,,2018,NA,Current,NA,NA,2440553,2010,"(-2.17099, -79.9223)"
36252,Comune di Oristano,Oristano,Italy,Europe,public,,2018,Declining water quality,Short-term,Serious,NA,31630,2015,"(39.7207, 8.898)"
36252,Comune di Oristano,Oristano,Italy,Europe,public,,2018,Increased water stress or scarcity,Short-term,NA,NA,31630,2015,"(39.7207, 8.898)"
36265,Comune di Reggio Emilia,Reggio Emilia,Italy,Europe,public,,2018,Increased water stress or scarcity,Short-term,Serious,NA,0,0,"(44.4376, 10.8774)"
36274,Comune di Bologna,Bologna,Italy,Europe,public,,2018,Increased water stress or scarcity,Short-term,Serious,NA,389.261,2017,"(44.4938, 11.3387)"
36274,Comune di Bologna,Bologna,Italy,Europe,public,,2018,Declining water quality,Current,Serious,NA,389.261,2017,"(44.4938, 11.3387)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,public,,2018,Increased water stress or scarcity,Short-term,NA,Water comes from River Po which is experiencing prolonged drought,133155,2015,"(44.8357, 11.619)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,public,,2018,Declining water quality,Current,NA,Same problem as above.,133155,2015,"(44.8357, 11.619)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,public,,2018,NA,Short-term,NA,Sudden heavy rainfalls might cause floodings,133155,2015,"(44.8357, 11.619)"
36410,City of Memphis,Memphis,United States of America,North America,public,,2018,Increased water stress or scarcity,Long-term,Less Serious,"Memphis's water supply comes from groundwater in aquifers. While there are no immediate concerns about scarcity, there may be long-term implications for water supply especially if drought conditions happen more frequently and recharge is not adequate.",652236,2017,"(35.1495, -90.049)"
36410,City of Memphis,Memphis,United States of America,North America,public,,2018,Declining water quality,Long-term,Serious,"Memphis's drinking water supply, an unconfined sand aquifer, is vulnerable to contamination particularly from chlorinated solvents or degreasers and gasoline which do not biodegrade. The existing water supply is very high-quality, but there is a need for further research and information on windows or gaps in the protective clay layer to ensure that contaminants do not enter the aquifer.",652236,2017,"(35.1495, -90.049)"
36426,Riga City,Riga,Latvia,Europe,public,,2018,Declining water quality,Medium-term,Less Serious,The risk probability of negative publicity because of water discoloration is low during the water pipeline repair works and water pipeline replacement Investment projects,637971,2017,"(56.9496, 24.1052)"
50544,"City of Aurora, IL",Aurora,United States of America,North America,public,,2018,Increased water demand,Long-term,Serious,NA,203195,2017,"(88.3201, 41.7606)"
36426,Riga City,Riga,Latvia,Europe,public,,2018,Inadequate or ageing infrastructure,Current,Serious,"In the case of failure of the trunk mains from ground water or surface water sources can lead to interruption of the pumping station/water treatment work. However, risk probability is low as there are 2 independent water sources and several parallel trunk main lines.Ageing infrastructure (pipelines, pumping station, wells, plants, equipment, etc.) needs sufficient investments",637971,2017,"(56.9496, 24.1052)"
36426,Riga City,Riga,Latvia,Europe,public,,2018,Higher water prices,Current,Less Serious,"With the decrease of water consumption, the pressure to increase water price is ongrowing. However, risk probability is medium as Utility is increasing efficiency of the work and expenses.",637971,2017,"(56.9496, 24.1052)"
36426,Riga City,Riga,Latvia,Europe,public,,2018,Energy supply issues,Current,Serious,"Energy supply interruption can lead to water supply interruption. However, risk probability is low as there are two energy supply lines to the surface water treatment plant and network pressure boosting pumping stations, and both â€“ surface and ground water sources main pumping stations, as well as network pressure boosting pumping stations have alternative diesel power stations",637971,2017,"(56.9496, 24.1052)"
42123,City of GoiÃ¢nia,GoiÃ¢nia,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Current,Serious,With the scarcity of water we will face a situation of public calamity,1302001,2010,"(-16.6869, -49.2648)"
42123,City of GoiÃ¢nia,GoiÃ¢nia,Brazil,Latin America,public,,2018,Declining water quality,Current,Serious,"With poor water quality, public health problems will emerge.",1302001,2010,"(-16.6869, -49.2648)"
42123,City of GoiÃ¢nia,GoiÃ¢nia,Brazil,Latin America,public,,2018,Inadequate or ageing infrastructure,Short-term,Less Serious,q,1302001,2010,"(-16.6869, -49.2648)"
42123,City of GoiÃ¢nia,GoiÃ¢nia,Brazil,Latin America,public,,2018,Increased water demand,Short-term,Serious,exhaustion of resources,1302001,2010,"(-16.6869, -49.2648)"
42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,public,C40,2018,Increased water stress or scarcity,Medium-term,Serious,"Even though water supply in Quito is not particularly vulnerable to climate change, if we considered the assumptions made and land use change, the Climatic Vulnerability Analysis for priority sectors (2014) determines that clean water supply in the MDQ by 2050 could be affected by a 10% of the total coverage.",2239191,2010,"(-0.2333, -78.5167)"
43905,City of San Antonio,San Antonio,United States of America,North America,public,,2018,Increased water stress or scarcity,Medium-term,NA,"Currently have very diversified sources of water.  However, increased extreme heat and drought may impact water security.",1469845,2015,"(29.4241, -98.4936)"
43907,City of Indianapolis,Indianapolis,United States of America,North America,public,,2018,Increased water stress or scarcity,Short-term,Serious,"A report by the Indiana Chamber of Commerce revealed that even without the effects of climate change the state, and specifically the central Indiana region (i.e. Indianapolis) will be likely to have severe water shortage problems by 2030. http://share.indianachamber.com/media/WaterStudyReport2014LoRes.pdf",863000,2017,"(39.7676, -86.1785)"
43907,City of Indianapolis,Indianapolis,United States of America,North America,public,,2018,Inadequate or ageing infrastructure,Current,Serious,"The City of Indianapolis covers 400 square miles, and the average age of the water and storm water infrastructure has been steadily climbing for years. The City recently increased the storm water fee to help address the backlog of aged storm water infrastructure. The drinking water system is facing a similar problem.",863000,2017,"(39.7676, -86.1785)"
43907,City of Indianapolis,Indianapolis,United States of America,North America,public,,2018,Declining water quality,Short-term,Serious,"Due to an older downtown within the city, there are combined sewer overflows (CSO) that drain into the rivers running through the city. A substantial portion of the drinking water is pulled from rivers and surface waters, meaning increased storm events will increase the chance of contamination. As the utility shifts to more groundwater sources, it will further stress the increasingly limited resource.",863000,2017,"(39.7676, -86.1785)"
43910,City of Columbus,Columbus,United States of America,North America,public,,2018,Declining water quality,Medium-term,Serious,"Increased nutrient/pesticide/ herbicide load due to extended growing season, increased algal blooms. Increased watershed and stream bank erosion.Increased organics, nutrients, turbidity, sediment, and other pollutant loads.",860090,2016,"(39.9612, -82.9988)"
43910,City of Columbus,Columbus,United States of America,North America,public,,2018,Higher water prices,Medium-term,Serious,"Increased cost for utility services (water, wastewater).",860090,2016,"(39.9612, -82.9988)"
43910,City of Columbus,Columbus,United States of America,North America,public,,2018,NA,Long-term,Serious,Increased insurance costs; Increased damages due to floods/storms. Increased flood damage to private property and infrastructure. Increased food costs due to decreased agricultural production (crop loss).,860090,2016,"(39.9612, -82.9988)"
43912,City of Edmonton,Edmonton,Canada,North America,public,,2018,Increased water stress or scarcity,Long-term,Extremely serious,"The City of Edmonton sources all water from the North Saskatchewan River, and has no identified back up source of water supply. There is no evidence that water supply is a risk in the short term, but further investigation of Edmonton's water supply is needed. Given Edmonton's regional importance to the supply of potable water, the impact of reduced flows of water in the North Saskatchewan would be extremely serious.",950000,2017,"(53.5444, -113.491)"
43926,City of Mannheim,Mannheim,Germany,Europe,public,,2018,Higher water prices,Current,NA,NA,312722,2015,"(49.4875, 8.46603)"
49330,Kansas City,Kansas City,United States of America,North America,public,,2018,Inadequate or ageing infrastructure,Current,Extremely serious,"KCMO has entered into a consent decree with the US-EPA to address overflow control issues stemming from a 150 year old brick, concrete and steel water transportation system. The existing system is failing and must be replaced or repaired. The consent decree, extending 25 years, is a $4.5 billion combination of repaired and new system elements. The entire program, titled ""Smart Sewers"" focuses initially on new green infrastructure.",467007,2013,"(39.1429, -94.573)"
43928,Canberra,Canberra,Australia,Southeast Asia and Oceania,public,,2018,Increased water stress or scarcity,Long-term,Serious,"The water resources and water consumption of the ACT region are highly influenced by climate variability.  The spatial and temporal variability of temperature, evaporation and rainfall largely determine the level of urban water supply security (i.e. reliability). Future climate scenarios are fundamental to the level of the ACTâ€™s future water security. This was evident when South-eastern Australia experienced 7 years of severe drought between 2002 and 2009. The duration and impacts of this ""Millennium Drought"" were unprecedented in the ACTâ€™s historical climatic record since Federation. For one year in 2006 stream flows reduced to 90% but averaged around 60%, and water storages fell to low levels (approximately 30% of capacity), and severe water restrictions (Stage 3) were imposed for almost 4.5 years across the period 2003 to 2010. Stage 4 restrictions which require no outside watering were nearly enacted, however a storm in 2007 averted this stage. Additionally, the light soaking autumn rainfall has decreased significantly, with an almost 40% reduction observed over the period 1997 to 2010 as compared to the long term average. Over the same period, spring and summer rainfalls have increased however these are delivered as intense and localised storms. This change continued through the 2010/2011 wet years. Considering the lessons from the Millennium Drought and the changing seasonality of rainfall, there are expected to remain long-term water related risks as a result of increasing population growth combined with periods of reduced rainfall. If climate emerges drier than projected it will further compromise the ACTâ€™s water supply security. The likelihood to this scenario happening is â€˜Possibleâ€™ and would lead to â€˜Majorâ€™ to â€˜Severeâ€™ consequences, such as the water supply system not able to meet the ACTâ€™s unrestricted demand for water.",415000,2017,"(-35.3075, 149.124)"
43930,The Hague,The Hague,Netherlands,Europe,public,,2018,Increased water stress or scarcity,Medium-term,Serious,"Additional 100,000 households in the region in the next 15 years (+10-20%)",525745,2017,"(52.0705, 4.3007)"
43930,The Hague,The Hague,Netherlands,Europe,public,,2018,Declining water quality,Long-term,Serious,"Mainly herbicides, hormones, pesticides and other difficult to remove substances.",525745,2017,"(52.0705, 4.3007)"
43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,public,C40,2018,Increased water stress or scarcity,Medium-term,Serious,"Auckland faces unprecedented pressures from population growth, which coupled with increased frequency and severity of severe weather events will put significant pressure on water supply and quality within the region.",1657200,2017,"(-36.8153, 174.742)"
43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,public,C40,2018,Declining water quality,Current,Serious,"As detailed in the Risks and Adaptation section, flooding is a major risk to the region, whether surface, groundwater or coastal.  An unprecedented series of storm events in Auckland in March and April 2017 caused significant slips in the water catchments, bringing the turbidity of water in most water supply dams to 100 to 8,000 times their normal levels. This affected Aucklandâ€™s water supply significantly and for the first time in 23 years, Aucklanders were asked to reduce their water consumption. The crisis is now over and has been managed without mandatory restrictions or damage to the infrastructure, thanks to the overwhelming positive community response to the water savings campaign. At Watercare, this is triggering work on system resilience and climate change strategy. The national climate and weather experts have called these storm events â€œoff the chartâ€, well beyond the 1 in 100 year storm events the stormwater systems have been designed for.",1657200,2017,"(-36.8153, 174.742)"
43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,public,C40,2018,Inadequate or ageing infrastructure,Medium-term,Serious,"Although current water supply, wastewater and stormwater infrastructure is currently adequate, recent events have highlighted that increased severity and frequency of downpours in the region will put pressure on infrastructure and result in some failures.",1657200,2017,"(-36.8153, 174.742)"
43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,public,,2018,Increased water stress or scarcity,Medium-term,NA,"Wellington City suffers from a dual risk when it comes to water scarcity. Recent summer droughts have brought water supplies to as low as 7 days of remaining supply, with the risk of worse droughts magnifying this. Additionally, water provides the vast majority of New Zealand's renewable power. If droughts affect the water supply to our hydro lakes and limit our energy capacity, whilst fossil energy becomes even more expensive, this will drastically limit our ability to be sustainable.",209102,2017,"(-41.2865, 174.776)"
43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,public,,2018,Inadequate or ageing infrastructure,Current,NA,"Wellington has a significant problem with aging water infrastructure. The problem presents itself in two ways - firstly the existing infrastructure is of unknown quality and some eras of pipe have a tendency to fail early and unexpectedly. This is magnified by the risks from earthquakes, which significantly increase leakage in a shaky place like Wellington. As sea level rise increasingly affects stormwater and wastewater systems, it is unknown how it will affect the water supply in a coastal city like Wellington.",209102,2017,"(-41.2865, 174.776)"
43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,public,,2018,NA,Current,NA,"Wellington is a coastal city. Though it has no rivers it has numerous streams - and many of those streams are beneath some of our most important roads in pipes. As the sea rises unexpected influences on those underground streams could result in flooding or destructive inundation. Additionally, the stormwater network may find itself overtaxed with rising seas.",209102,2017,"(-41.2865, 174.776)"
43969,Ciudad de AsunciÃ³n,AsunciÃ³n,Paraguay,Latin America,public,,2018,Increased water stress or scarcity,Long-term,Less Serious,AUMENTO POBLACIONAL QUE INCREMENTE LA DEMANDA DE CONSUMO DE AGUA,525252,2017,"(-25.2637, -57.5759)"
43969,Ciudad de AsunciÃ³n,AsunciÃ³n,Paraguay,Latin America,public,,2018,Declining water quality,Current,Serious,NA,525252,2017,"(-25.2637, -57.5759)"
43969,Ciudad de AsunciÃ³n,AsunciÃ³n,Paraguay,Latin America,public,,2018,Inadequate or ageing infrastructure,Current,Serious,NA,525252,2017,"(-25.2637, -57.5759)"
44185,Suwon City,Suwon,Republic of Korea,East Asia,public,,2018,Increased water stress or scarcity,Medium-term,Serious,"There is a risk that the river will run dry or the groundwater level will go down when extreme droughts occur. There is a possibility that water quality contamination of reservoirs and rivers due to abnormal temperatures may be increased. It is in urgent need to secure emergency water when a problem occurs in water supply accidents or in the supply of waterworks including the occurrence of cyanobacteria in the Palland Lake, which is a major drinking water source.",1240480,2017,"(37.17, 126.805)"
49334,"City of Richmond, VA","Richmond, VA",United States of America,North America,public,,2018,Inadequate or ageing infrastructure,Medium-term,Serious,Older infrastructure,222853,2017,"(37.5407, -77.436)"
49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States of America,North America,public,,2018,Increased water stress or scarcity,Current,Serious,"Volatility currently and into the future threatens homes, businesses, and property within and alongside the floodplain of the Cumberland River and its tributaries.",667560,2017,"(36.1627, -86.7816)"
49339,City and County of Honolulu,Honolulu,United States of America,North America,public,,2018,Energy supply issues,Current,Serious,"Oahu faces risks from natural disasters and weather-related events such as hurricanes, which could cause a loss of power supply to pump infrastructure.",992605,2017,"(21.28, 157.59)"
49339,City and County of Honolulu,Honolulu,United States of America,North America,public,,2018,Inadequate or ageing infrastructure,Medium-term,Serious,Approximately 76 miles of coastal water pipelines and 26 bridge crossings are at risk from sea level rise.,992605,2017,"(21.28, 157.59)"
49339,City and County of Honolulu,Honolulu,United States of America,North America,public,,2018,Increased water stress or scarcity,Long-term,Serious,"With climate change, we are expecting the already dry Leeward coast to become 65% drier.",992605,2017,"(21.28, 157.59)"
49342,City of Rochester,Rochester,United States of America,North America,public,,2018,Declining water quality,Medium-term,Serious,"Higher temperatures affect the quality of the water, requiring additional, more costly treatment.",208046,2017,"(43.161, -77.6109)"
49342,City of Rochester,Rochester,United States of America,North America,public,,2018,Increased water stress or scarcity,Medium-term,Serious,"The potential for increased climate refugees will increase water demand, thus requiring the need to tap into a more diverse water source. Currently, two of the main water sources for the City of Rochester, including Hemlock and Canadice Lakes have a limit for the amount of water that can be pumped from the lakes.",208046,2017,"(43.161, -77.6109)"
49359,City of Harare,Harare,Zimbabwe,Africa,public,,2018,Increased water stress or scarcity,Current,NA,Reduced rainfall result in water scarcity,2424420,2017,"(-17.8284, 30.9328)"
49359,City of Harare,Harare,Zimbabwe,Africa,public,,2018,Inadequate or ageing infrastructure,Current,NA,Old water pipes burst resulting  in  water loss,2424420,2017,"(-17.8284, 30.9328)"
