,Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,SNA price valuation,Lending category,System of National Accounts,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,Recent VALUES,Indicator Code,Topic,Indicator Name,Limitations and exceptions,Statistical concept and methodology
177,CHN,China,China,People's Republic of China,CN,Chinese yuan,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. The new base year is 2015.",East Asia & Pacific,Upper middle income,CN,2015,Value added at producer prices (VAP),IBRD,Country uses the 2008 System of National Accounts methodology,2011,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Sample Survey on Population Changes, 2014","Integrated household survey (IHS), 2014",2007,2007.0,2016.0,2013.0,1.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
178,CIV,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire,CI,West African CFA franc,,Sub-Saharan Africa,Lower middle income,CI,2009,Value added at producer prices (VAP),IDA,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2015",2014/15,1997.0,2016.0,2005.0,111.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
179,CMR,Cameroon,Cameroon,Republic of Cameroon,CM,Central African CFA franc,National accounts data revised from 1993-2016.,Sub-Saharan Africa,Lower middle income,CM,2005,Value added at basic prices (VAB),Blend,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2005,"Multiple Indicator Cluster Survey, 2014","Priority survey (PS), 2014","2013. Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",2002.0,2016.0,2000.0,114.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
180,COD,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc,WB-3 code changed from ZAR to COD to align with ISO code.,Sub-Saharan Africa,Low income,ZR,2005,Value added at basic prices (VAB),IDA,Country uses the 1993 System of National Accounts methodology,2011,BPM5 (Converted into BPM6 by IMF),Preliminary,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1984,"Demographic and Health Survey, 2013/14","1-2-3 survey (1-2-3), 2012/13",,,2016.0,2005.0,141.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
181,COG,Congo,"Congo, Rep.",Republic of Congo,CG,Central African CFA franc,,Sub-Saharan Africa,Lower middle income,CG,1990,Value added at producer prices (VAP),Blend,Country uses the 1968 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2007,Multiple Indicator Cluster Survey 2014/15,"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",2014/15,2009.0,2016.0,2002.0,143.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
182,COL,Colombia,Colombia,Republic of Colombia,CO,Colombian peso,,Latin America & Caribbean,Upper middle income,CO,2005,Value added at basic prices (VAB),IBRD,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2015",2014/15,2012.0,2016.0,2008.0,72.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
183,CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,National accounts are revised from 1991 to 2015 using SNA 2008 based on official government data. The new reference year is 2012. The country uses chain linked methedology.,Latin America & Caribbean,Upper middle income,CR,2012,Value added at basic prices (VAB),IBRD,Country uses the 2008 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2011","Integrated household survey (IHS), 2015",2014,2013.0,2016.0,2013.0,69.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
184,CYP,Cyprus,Cyprus,Republic of Cyprus,CY,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,CY,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,,2010,2014.0,2016.0,2013.0,48.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
185,CZE,Czech Republic,Czech Republic,Czech Republic,CZ,Czech koruna,,Europe & Central Asia,High income,CZ,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.","World Health Survey, 2003","Integrated household survey (IHS), 2013",2010,2013.0,2016.0,2013.0,14.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
186,DEU,Germany,Germany,Federal Republic of Germany,DE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,DE,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2011. Population figures compiled from administrative registers and sample surveys while data on housing characteristics are collected through full field enumeration.,,"Integrated household survey (IHS), 2011",2010,2014.0,2016.0,2010.0,3.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
187,DNK,Denmark,Denmark,Kingdom of Denmark,DK,Danish krone,,Europe & Central Asia,High income,DK,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2011. Population data compiled from administrative registers.,,"Income tax registers (ITR), 2012",2010,2014.0,2016.0,2012.0,21.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
188,DZA,Algeria,Algeria,People's Democratic Republic of Algeria,DZ,Algerian dinar,The new base year is 1999.,Middle East & North Africa,Upper middle income,DZ,1999,Value added at basic prices (VAB),IBRD,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2008,"Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2011",,2010.0,2016.0,2012.0,139.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
189,ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,,Latin America & Caribbean,Upper middle income,EC,2007,Value added at basic prices (VAB),IBRD,Country uses the 2008 System of National Accounts methodology,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey, 2004","Integrated household survey (IHS), 2015",,2008.0,2016.0,2005.0,106.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
