Account No,Organisation,City,Country,Region,Access,C40,Reporting Year,Risks to city's water supply,Adaptation action,Action description,City Location
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Efficiency regulations or standards,"The City's Water by-law regulates water efficiency and water use. This includes restriction on washing of paved areas and cars; filling of swimming pools and ponds; efficient fittings in public facilities; flow rates of all taps and showerheads; toilet capacity and other sanitary-ware fittings. Other interventions include reducing leaks, establishing water efficient building regulations, decreasing off-peak water pressure to decrease loss from leaks and running awareness campaigns about re-using water incentives.","(-33.9253, 18.4239)"
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,"In terms of conservation awareness and education the City is currently conducting a large scale awareness campaign focused on the goal of reducing consumption to 50 litres per person per day.  Various conservation, education and awareness activities are however not  only drought-related, but are continuing taking placing city-wide via a dedicated  section in the Water Demand branch.The City has also arranged various forums, ""think water"" exhibitions, conferences and workshops to provide information to businesses and the public.  For examples include the Smart Living Drama Festival for high school learners, themed ""our water, our pride""; and the Alternative Water Workshop for Plumbers and Installers held in March 2018.","(-33.9253, 18.4239)"
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"In terms of diversifying water supply (including new sources): the City is currently conducting cooperative planning with the national Department of Water and Sanitation to ensure that additional water supply infrastructure is constructed to avoid a long-term water deficit in the region. Climate change is expected to change rainfall patterns, and this has been included.From supply side management perspective, various water management augmentation schemes are underway. Investigations into using the Table Mountain Group aquifer, Cape Flats aquifer, effluent re-use, stormwater harvesting, as well as a desalination are underway and at various stages of research and implementation.Current projects  being implemented in 2018 include temporary desalination plants at Strandfontein, V&A Waterfront and Monwabisi. Water augmentation projects are also underway at the Cape Flats aquifer, TMG aquifer and Atlantis Aquifer.","(-33.9253, 18.4239)"
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Use of non-potable water outside,"Promoted by the City, Treated effluent is made available by the City for use by industry and for irrigation in place of municipal water. Currently a project is underway to construct a new treated effluent pipe from Athlone Waste Water Treatment Plant  to Landsdowne to increase uptake.","(-33.9253, 18.4239)"
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Water metering,"A programme of zone metering has allowed the City to more carefully monitor and control water use on a suburb level scale. Additionally, the city has upscaled the roll-out of water management devices (WMDs) which restrict users who consistently use excessive amounts of water  to a 350 litres per day, or more depending on the number of occupants on the property. .","(-33.9253, 18.4239)"
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),"Stormwater management has been restructured to form part of the Water and Sanitation department, thus to strengthen collaboration and strategy to better utilise stormwater as an additional future water source.","(-33.9253, 18.4239)"
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Municipal water efficiency retrofits,Programmes are underway to retrofit municipal buildings with more water efficient components.,"(-33.9253, 18.4239)"
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Other: Pressure management,"Extensive pressure management has successfully been applied city-wide in different water supply zones to assist in bringing demand down.  Not only does pressure management generally lower consumption by reducing the rate at which water flows to properties, it also reduces leaks and pipe bursts by better ensuring that pressure remains within levels that the pipework can tolerate, and reduces the rate of loss from leaks and bursts.  Roll-out of additional pressure management technology to various parts of the water supply network continues. Pressure management can achieve savings of up to 62 million litres water per day.","(-33.9253, 18.4239)"
35858,City of Cape Town,Cape Town,South Africa,Africa,public,C40,2018,Increased water stress or scarcity,Watershed preservation,"The pine tree plantations located around Wemmershoek Dam have been removed in an attempt to preserve the water in the dam. Pine trees can use up to 100 litres of water per. Removal of pine trees, and other alien vegetation around dams is assisting in reducing loss through transpiration and increases runoff into dams.","(-33.9253, 18.4239)"
35883,City of San JosÃ©,"San JosÃ©, CA",United States of America,North America,public,,2018,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),The City of San JosÃ© has growing green infrastructure program and manages man-made infrastructure. It partners with the Santa Clara Valley Water District to maintain natural waterways.,"(37.3382, -121.886)"
35859,City of Cleveland,Cleveland,United States of America,North America,public,,2018,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),"The Kerruish Stormwater Control Facility Dam is used for flood control purposes. The improvement project consisted of clearing and grubbing of the dam area, removing trees, repairing the dam structure including primary spillway, construction of a new emergency secondary spillway and constructing access roadways. This project improved the structure of the dam, the hydraulics during a major storm, the water quality and enhance aquatic habitat.At the same time, the Cleveland Water Department is analyzing the leaks in the drinking water distribution system. The Cleveland Division of Water Pollution Control also worked with the U.S. EPA in 2015 to assess its resiliency to climate change, using the CREAT tool.","(41.4993, -81.6944)"
35859,City of Cleveland,Cleveland,United States of America,North America,public,,2018,Declining water quality,Stormwater management (natural or man-made infrastructure),"The Big Creek Watershed Plan identifies numerous priority conservation and development areas, as well as opportunities for stormwater retrofits. Considering the urban nature of Big Creek, stormwater retrofits are the primary means for improving watershed function and expanding green infrastructure. The City is also actively pursuing a large increase in Cleveland's urban tree canopy, which will not only sequester carbon, but also provide an additional buffer against flooding. The Cleveland Tree Plan, released in 2015, summarizes the city's approach to becoming the ""forest city"" once again.In 2017, the Trust for Public Land implemented their Climate-Smart Cities program in Cleveland. Part of this project prioritizes green infrastructure locations based on a variety of factors, including location of flooding in Cleveland.","(41.4993, -81.6944)"
35863,City of Durban,Durban,South Africa,Africa,public,C40,2018,Inadequate or aging infrastructure,Watershed preservation,A focus on catchment management and ecological infrastructure,"(-29.8587, 31.0218)"
35863,City of Durban,Durban,South Africa,Africa,public,C40,2018,Inadequate or aging infrastructure,Other,"A number of innovative approaches have been put into practise, or which are being actively pursued. These include: Methodologies used to empty Ventilated Improved Pit (VIP) toilets. Developing low cost, low maintenance sewage treatment system - which does not require electricity - with the effluent providing irrigation to a community garden. Once developed to meet local water quality standards the treatment system will facilitate the provision of water borne sewerage to Housing schemes situated in areas outside that served by Municipal sewerage infrastructure. Investigating water conservation by adopting catchment management practices which incorporate the payment for certain ecosystem practices. The investigation will add to the alternatives to large dams, Cultivation of a specific oil producing species of algae using treatment works effluent. In addition to supplying a bio-diesel this process having the added advantage of removing excess nutrients from the final effluent. The generation of hydro-electric power by utilising the high pressures inherent in the water supply mains.","(-29.8587, 31.0218)"
35863,City of Durban,Durban,South Africa,Africa,public,C40,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,improvements to infrastructure are being done,"(-29.8587, 31.0218)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,public,,2018,Increased water stress or scarcity,Efficiency regulations or standards,NA,"(-26.1777, 28.3462)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,public,,2018,NA,Stormwater management (natural or man-made infrastructure),NA,"(-26.1777, 28.3462)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,NA,"(-26.1777, 28.3462)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,public,,2018,Declining water quality,Watershed preservation,NA,"(-26.1777, 28.3462)"
35865,Municipality of Fortaleza,Fortaleza,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Ãguas da Cidade - Dentre as aÃ§Ãµes do projeto estÃ£o a despoluiÃ§Ã£o das Ã¡guas por meio do tamponamento das ligaÃ§Ãµes clandestinas de esgoto com formaÃ§Ã£o de anÃ©is sanitÃ¡rios, a fiscalizaÃ§Ã£o e controle do despejo inadequado de efluentes nestes ambientes, porÃ©m tambÃ©m serÃ£o realizadas atividades de educaÃ§Ã£o ambiental para sensibilizaÃ§Ã£o da populaÃ§Ã£o a cerca da seguranÃ§a hÃ­drica e da conscientizaÃ§Ã£o do consumo consciente de Ã¡gua;","(-10.7183, -48.3936)"
35865,Municipality of Fortaleza,Fortaleza,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Water metering,"O projeto Pegada HÃ­drica da Cidade de Fortaleza resultou em um diagnÃ³stico do consumo de Ã¡gua pelo governo local, possibilitando a identificaÃ§Ã£o de gargalos ambientais passÃ­veis de melhorias atravÃ©s de uma eficiÃªncia operacional.","(-10.7183, -48.3936)"
35867,Region Metropolitana de Guadalajara,Guadalajara,Mexico,Latin America,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,"EducaciÃ³n ambiental en los temas ambientales poniendo Ã©nfasis en el uso y conservaciÃ³n del agua potable, calidad del aire, incremento de Ã¡reas verdes.","(20.6597, -103.35)"
35872,Municipality of Recife,Recife,Brazil,Latin America,public,,2018,Declining water quality,Conservation awareness and education,Ainda nÃ£o hÃ¡ aÃ§Ãµes concretas planejadas e/ou direcionadas para lidar com os problemas de Ã¡gua na cidade ocasionadas pela mudanÃ§a do clima.,"(-8.05783, -34.8829)"
35873,Municipality of MedellÃ­n,MedellÃ­n,Colombia,Latin America,public,C40,2018,Increased water stress or scarcity,Watershed preservation,NA,"(6.22729, -75.5735)"
35873,Municipality of MedellÃ­n,MedellÃ­n,Colombia,Latin America,public,C40,2018,Declining water quality,Conservation incentives,NA,"(6.22729, -75.5735)"
35883,City of San JosÃ©,"San JosÃ©, CA",United States of America,North America,public,,2018,Increased water stress or scarcity,Use of non-potable water outside,Climate Smart San JosÃ© calls for the increased percentage of demand met by reuse/recycling from 5% today (existing program) to 23% by 2040. South Bay Water Recycling is an established organization/program that will continue to make strides toward this goal.,"(37.3382, -121.886)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Higher water prices,Conservation awareness and education,NA,"(38.9389, 121.567)"
35874,City of Phoenix,Phoenix,United States of America,North America,public,,2018,Increased water stress or scarcity,Investment in existing water supply infrastructure,"SUPPLY The Phoenix Water Services Department has added two new initiatives in 2014; 1) to add water reserves including underground water storage in Tucson per a Tucson-Phoenix Water Agreement; and 2) $5 million Water Resiliency Fund that increase water storage capacity.   Arizona Water Bank Authority has recharged over 3 million acre-feet of Colorado River water for municipal and industrial users of the Central Arizona Project (CAP).  The CAP is an aqueduct bringing Colorado River water east into Arizona. The water has been stored in numerous aquifer storage facilities within CAPâ€™s service area, and the credits for this water will be available for use by CAP when municipal subcontractor allocations are reduced. At present, approximately 75 percent of the 638,000 acre-feet of municipal and industrial subcontract water is used annually. Thus, water stored to date can provide benefits for an extended period if the proper infrastructure is in place.  Aside from additional surface water supplies that can use current treatment capacity, local groundwater is the most accessible supplemental supply. Through the Cityâ€™s Designation of Assured Water Supply, legal and physical access to more than 3.5 million acre-feet of groundwater in the Phoenix service area over a 100 year period, (an average of more than 35,000 acre-feet per year) has been demonstrated.","(33.4484, -112.074)"
35874,City of Phoenix,Phoenix,United States of America,North America,public,,2018,Higher water prices,Conservation incentives,"DEMAND â€¢  Promote strengthening of national plumbing efficiency standards that will provide indirect long term benefits;  â€¢ Expand system leak detection activities and further reduce water lost to leaks where cost-effective in comparison to supply development;  â€¢ Support continued research and implementation of water efficiency technologies that over time can lead to substantial efficiency gains;  â€¢ Evaluate the relative cost-effectiveness, feasibility and potential consequences of regulatory programs proposed for state legislation and rules;  â€¢ Expand customer educational efforts to encourage long-term preparation for deficit conditions through water-efficient landscape choices;  â€¢ Explore the potential for changes in the rate structure to preserve flexibility in meeting objectives during both shortages and normal supply conditions;  â€¢ Evaluate the cost-effectiveness of incentives to promote early incorporation of promising water-efficient technologies within the service area;  â€¢ Establish an industrial, commercial and institutional (ICI) audit and review process to better understand characteristics of these uses and to encourage incorporation of best management practices;  â€¢ Re-assess and update the Turf Management Program to better ensure compliance with Arizona Department of Water Resources requirements and to encourage incorporation of best management practices; and  â€¢ Formally establish a â€œResidential End User Audit Programâ€ to continue the work recently initiated by staff and consultants to better understand residential demand characteristics, including the ratio of indoor to outdoor water use.   Phoenix per-capita water use has decreased by more than 25 percent since the mid- 1990â€™s.","(33.4484, -112.074)"
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"The City of Pittsburgh and partners in the region are exploring strategies to develop green infrastructure that will reduce the strain on the sewer system, but there will be rate hikes to invest in the water and sewer systems that have deteriorated after decades of deferred maintenance.","(40.4406, -79.9959)"
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,public,,2018,Increased water stress or scarcity,Investment in existing water supply infrastructure,"We are replacing pipes as they fail, and the PWSA is conducting a study of pipes to identify where large leaks are and proactively repair them.","(40.4406, -79.9959)"
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,public,,2018,Declining water quality,Watershed preservation,"With the green infrastructure plan we are looking at options to daylight streams, restore wetlands and reduce impervious surfaces.","(40.4406, -79.9959)"
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,public,,2018,NA,Stormwater management (natural or man-made infrastructure),"The green infrastructure will improve water quality and absorb stormwater, which reduces the risk of flash flooding.","(40.4406, -79.9959)"
35878,City of Sacramento,Sacramento,United States of America,North America,public,,2018,Increased water stress or scarcity,Water use restrictions,"The City has complied with mandatory water restrictions and achieved mandatory water reductions imposed by the state, attaining a 28% reduction in community water use below 2013 levels. However, the City is actively planning and preparing for water scarcity. The City is installing water meters at all water accounts serviced by the city, and will institute metered billing. The City continues to actively promote water conservation and efficiency. The City collaborates with regional and state agencies for water planning, seeking to prepare for future uncertainties in supply.","(38.5816, -121.494)"
35883,City of San JosÃ©,"San JosÃ©, CA",United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Currently, the City administers two water conservation programs: the Water Efficient Technologies program and the Neighborhood Preservation Water Conservation Program. In addition, the City works with the Santa Clara Valley Water District on various indoor, outdoor, residential and commercial programs such as high efficiency toilet rebates. Since 1992, the Cityâ€™s efforts and funding have achieved approximately 8 million gallons per day of reduced water use. Due to the ongoing drought in California the City has enhanced its water conservation efforts city wide. Measures include repairing water leaks as they occur, minimizing hardscape and window cleaning, utilizing more recycled water for landscaping and construction projects, and increasing water use education. Climate Smart San JosÃ© aims to reduce total water consumption in the City to 76 million gallons per day by 2040.","(37.3382, -121.886)"
35883,City of San JosÃ©,"San JosÃ©, CA",United States of America,North America,public,,2018,Increased water stress or scarcity,Efficiency regulations or standards,A new energy and water benchmarking and transparency policy may require efficiency standards for large buildings.,"(37.3382, -121.886)"
35883,City of San JosÃ©,"San JosÃ©, CA",United States of America,North America,public,,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),The Santa Clara Valley Water District is currently working to develop a new reservoir to increase capacity.,"(37.3382, -121.886)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Investment in existing water supply infrastructure,"Over the last few years, SANASA has invested in changing the water network in several neighborhoods. More than 300 km have been upgraded in the last 6 years.","(-22.744, -46.9372)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Use of non-potable water outside,"The previously mentioned Reuse Water production will aid in non-potable usesof water. Sewage Treatment Stations are being prepared to produce this water, so as to leave more drinking water available for noble uses.","(-22.744, -46.9372)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Over the last few years, SANASA has invested in changing the water network in several neighborhoods. More than 300 km have been upgraded in the last 6 years.","(-22.744, -46.9372)"
35903,Le Grand Casablanca,Casablanca,Morocco,Africa,public,,2018,NA,NA,Rainwater harvesting,"(33.5206, -7.56806)"
35903,Le Grand Casablanca,Casablanca,Morocco,Africa,public,,2018,NA,NA,Rainwater harvesting/ import of water from neighbouring areas,"(33.5206, -7.56806)"
35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,public,C40,2018,NA,Stormwater management (natural or man-made infrastructure),Channelisation of drains Construction of new drains and drainage pumping station.,"(22.5726, 88.3639)"
35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,public,C40,2018,NA,Efficiency regulations or standards,Complete restriction in use of Ground water. Mandatory Rainwater Harvesting structures for High rises.,"(22.5726, 88.3639)"
35913,City of Nairobi,Nairobi,Kenya,Africa,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,continued awareness to conserve water catchment areas,"(-1.29206, 36.8219)"
35913,City of Nairobi,Nairobi,Kenya,Africa,public,C40,2018,Declining water quality,Efficiency regulations or standards,NA,"(-1.29206, 36.8219)"
36036,City of Ibadan,Ibadan,Nigeria,Africa,public,,2018,Declining water quality,Conservation awareness and education,Advocacy and Stakeholders involvement,"(7.37753, 3.94704)"
36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,public,,2018,Declining water quality,Efficiency regulations or standards,"Law 373 of 1997 establishes the obligation of users of water resources presenting a program of efficient use and saving water-PUES (for its acronym in Spanish), which seeks to get organized and coherent set of actions, which are carried out either by the execution of works of adaptation and/or adoption of technical and administrative measures to help achieve the objective of the program. Thus, it has been socializing and publishing methodological tools to develop these programs in order to standardize and facilitate the submission of the PUE.","(3.45164, -76.532)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,public,,2018,Increased water stress or scarcity,Efficiency regulations or standards,NA,"(9.07647, 7.39857)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,NA,"(9.07647, 7.39857)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,public,,2018,Higher water prices,Water metering,NA,"(9.07647, 7.39857)"
36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,public,,2018,NA,Watershed preservation,NA,"(-2.17099, -79.9223)"
36252,Comune di Oristano,Oristano,Italy,Europe,public,,2018,Increased water stress or scarcity,Water metering,NA,"(39.7207, 8.898)"
36252,Comune di Oristano,Oristano,Italy,Europe,public,,2018,Declining water quality,Diversifying water supply (including new sources),NA,"(39.7207, 8.898)"
36265,Comune di Reggio Emilia,Reggio Emilia,Italy,Europe,public,,2018,Increased water stress or scarcity,Efficiency regulations or standards,NA,"(44.4376, 10.8774)"
36274,Comune di Bologna,Bologna,Italy,Europe,public,,2018,Increased water stress or scarcity,Conservation awareness and education,The Muncipality is active in actions to increase awareness in citizens related to water use.,"(44.4938, 11.3387)"
36274,Comune di Bologna,Bologna,Italy,Europe,public,,2018,Increased water stress or scarcity,Efficiency regulations or standards,The Municipal Building Code set rules to increase efficiency in water use in new and recovered buildings.,"(44.4938, 11.3387)"
36274,Comune di Bologna,Bologna,Italy,Europe,public,,2018,Declining water quality,Conservation incentives,NA,"(44.4938, 11.3387)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,public,,2018,Increased water stress or scarcity,Conservation awareness and education,Educating citizens to consume less water and infrastructural work to lower the water intakes in the river Po,"(44.8357, 11.619)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,public,,2018,Declining water quality,Investment in existing water supply infrastructure,water depuration has been improved,"(44.8357, 11.619)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,public,,2018,NA,Stormwater management (natural or man-made infrastructure),Civil protection plan implemented,"(44.8357, 11.619)"
36410,City of Memphis,Memphis,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Most of Memphis's drinking water supply protection efforts to date have focused on awareness and education, research and testing, and renewed collaborative efforts to address water issues, not just drinking water, comprehensively.","(35.1495, -90.049)"
36410,City of Memphis,Memphis,United States of America,North America,public,,2018,Declining water quality,Other: Study of aquifer & water quality risks,"Although Memphis has high quality drinking water from a deep aquifer, there are potential concerns of contaminants entering the aquifer through windows or gaps in the protective clay layer. Rates for utility customers were recently raised to fund a comprehensive study to better identify these windows/gaps and understand the potential risks to water quality.","(35.1495, -90.049)"
36426,Riga City,Riga,Latvia,Europe,public,,2018,Declining water quality,Other: Update of Client database and automation,â€¢	Other: Update of Client database and automation of Client information about repair works â€¢	Other: Client information and education about Investments in water supplyâ€¢	Other: Water supply network flushing program,"(56.9496, 24.1052)"
36426,Riga City,Riga,Latvia,Europe,public,,2018,Inadequate or aging infrastructure,Other: Diversifying water supply (including new,â€¢	Diversifying water supply (including new sources)â€¢	Investment in existing water supply infrastructure,"(56.9496, 24.1052)"
36426,Riga City,Riga,Latvia,Europe,public,,2018,Higher water prices,Other: Municipal water efficiency retrofit,"â€¢	Municipal water efficiency retrofitâ€¢	Stormwater management (natural or man-made infrastructure)â€¢	Other: Increase the number of customers (including, new water supply connections, rain water collection from properties and treatment)Increase the efficiency of the Utilityâ€™s work and expenses, acquire public resources for the Investment projects Increase the number of customers, including new Clients by specifying existing sewer networks for rain water collection and treatment","(56.9496, 24.1052)"
36426,Riga City,Riga,Latvia,Europe,public,,2018,Energy supply issues,Other: Providing alternative diesel power stati,â€¢	Other: providing alternative diesel power station,"(56.9496, 24.1052)"
36492,Comune di Parma,Parma,Italy,Europe,public,,2018,NA,Stormwater management (natural or man-made infrastructure),Improve the local management system of enamel meteoric waters,"(44.8015, 10.3279)"
36492,Comune di Parma,Parma,Italy,Europe,public,,2018,NA,Use of non-potable water outside,Reuse of water resource,"(44.8015, 10.3279)"
36492,Comune di Parma,Parma,Italy,Europe,public,,2018,NA,Municipal water efficiency retrofits,Awareness of the entire water supply chain,"(44.8015, 10.3279)"
42123,City of GoiÃ¢nia,GoiÃ¢nia,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Water use restrictions,Attempt to preserve the springs.,"(-16.6869, -49.2648)"
42123,City of GoiÃ¢nia,GoiÃ¢nia,Brazil,Latin America,public,,2018,Declining water quality,Other: none,None,"(-16.6869, -49.2648)"
42123,City of GoiÃ¢nia,GoiÃ¢nia,Brazil,Latin America,public,,2018,Inadequate or aging infrastructure,Other: none,none,"(-16.6869, -49.2648)"
42123,City of GoiÃ¢nia,GoiÃ¢nia,Brazil,Latin America,public,,2018,Increased water demand,Other: none,none,"(-16.6869, -49.2648)"
42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,"The Municipality of Quito, EMAAPQ  ( Metropolitan Public Company for Clean Water and Sanitation) and FONAG (Fund for the Protection of Water) have been developing various programs and projects to encourage protection and conservation of water sources.  This programs focus on restauration activities, environmental education, vigilance, communication and water management.","(-0.2333, -78.5167)"
43905,City of San Antonio,San Antonio,United States of America,North America,public,,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"History and future projects1. Carrizo Water By the end of 2013, Carrizo Aquifer water will be piped to San Antonio from western Gonzales County, enough to supply 60,000 homes. 2. Groundwater Desalination Already under construction in southern Bexar County, the desal project will come on line in 2016 and deliver up to 28,000 acre-feet per year by 2026. 3. Proposed Future Supplies Regional Water Supply In 2011, SAWS requested competitive sealed proposals for delivery of a turn-key water supply of up to 50,000 acre-feet per year by 2018. Project evaluation and selection is expected by the end of 2012. 4. Expanded Local Carrizo Aquifer Existing infrastructure and wells in southern Bexar County would be used to produce up to an additional 21,000 acre-feet per year by 2027. 5. SAWS has significant conservation programs in place for residents, institutions, and businesses.","(29.4241, -98.4936)"
43907,City of Indianapolis,Indianapolis,United States of America,North America,public,,2018,Increased water stress or scarcity,Watershed preservation,"In addition to supporting and promoting water efficiency programs, the city is a member of the local watershed alliance, the White River Alliance (WRA). City staff sit on the WRA board, which focuses on improving and protecting water resources with our region.","(39.7676, -86.1785)"
43907,City of Indianapolis,Indianapolis,United States of America,North America,public,,2018,Inadequate or aging infrastructure,Municipal water efficiency retrofits,"During recent energy retrofits to 61 city buildings, water efficiency improvements were also made to decrease water use.","(39.7676, -86.1785)"
43907,City of Indianapolis,Indianapolis,United States of America,North America,public,,2018,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),"The city's water utility is in the process of building the Deep Rock Tunnel in order to significantly increase the Cityâ€™s ability to manage storm and wastewater removal and treatment. The Deep Rock Tunnel is an 18-foot diameter tunnel being built 200 feet below the city that will collect and store stormwater (CSO) for treatment during non-flood conditions. The cityâ€™s Wellfield Control Ordinance aims to safeguard drinking water sources in the cityâ€™s wellfields by requiring numerous conditions on development and by requiring review of development plans by groundwater professionals. The City is also implementing a 20-year, $320 million storm water capital improvement program to eliminate identified neighborhood flooding and drainage issues. To fund the initiative, a new storm water rate for all properties went into effect in 2015, providing needed funds to perform essential storm water improvement projects. Moreover, the new storm water rate also includes up to a 50% fee reduction for properties that install green infrastructure.","(39.7676, -86.1785)"
43910,City of Columbus,Columbus,United States of America,North America,public,,2018,Declining water quality,Conservation awareness and education,"http://www.morpc.org/pdf/2014-12-5AdaptationStrategies.pdfIn the Short Term, ten-year planning horizon, it is recommended that the region implement strategies that focus on enhancing public and leadership education regarding water quality, watershed protection and planning, water supply, and climate change, and  increasing emergency preparedness.","(39.9612, -82.9988)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Higher water prices,Conservation incentives,NA,"(38.9389, 121.567)"
43910,City of Columbus,Columbus,United States of America,North America,public,,2018,Declining water quality,Watershed preservation,"http://www.morpc.org/pdf/2014-12-5AdaptationStrategies.pdfIn the Short Term, ten-year planning horizon, it is recommended that the region implement strategies that focus on: Establishing a regional collaborative forum for regional planning for issues related to water supply, water quality and climate change impacts; Expanding the monitoring and understanding of existing and developing land uses within the watershed; Modifying storm water and land development ordinances to protect critical waterway corridors, promote infiltration and reduce impervious areas. In the Mid Term range, 30-year planning horizon, strategies focus on water supply planning and watershed management planning that focuses on nutrient/pollutant reduction.","(39.9612, -82.9988)"
43910,City of Columbus,Columbus,United States of America,North America,public,,2018,Declining water quality,Stormwater management (natural or man-made infrastructure),"http://www.morpc.org/pdf/2014-12-5AdaptationStrategies.pdfIn the Short Term, ten-year planning horizon, it is recommended that the region implement strategies that focus on: Establishing a regional collaborative forum for regional planning for issues related to water supply, water quality and climate change impacts; Expanding the monitoring and understanding of conditions within the watershed; Modifying storm water and land development ordinances to promote infiltration and reduce impervious areas. In the Mid Term range, 30-year planning horizon, strategies focus on water supply planning and watershed management planning that focuses on nutrient/pollutant reduction.","(39.9612, -82.9988)"
43910,City of Columbus,Columbus,United States of America,North America,public,,2018,Higher water prices,Stormwater management (natural or man-made infrastructure),"http://www.morpc.org/pdf/2014-12-5AdaptationStrategies.pdfIn the Short Term, ten-year planning horizon, it is recommended that the region implement strategies that focus on: Establishing a regional collaborative forum for regional planning for issues related to water supply, water quality and climate change impacts; Expanding the monitoring and understanding of conditions within the watershed; Modifying storm water and land development ordinances to promote infiltration and reduce impervious areas. In the Mid Term range, 30-year planning horizon, strategies focus on water supply planning and watershed management planning that focuses on nutrient/pollutant reduction.","(39.9612, -82.9988)"
43926,City of Mannheim,Mannheim,Germany,Europe,public,,2018,Higher water prices,Conservation awareness and education,NA,"(49.4875, 8.46603)"
