

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Egypt",818,"Dependency ratio",4192,2017,98.2608695652,"E","","0"
"Egypt",818,"Total renewable water resources per capita",4190,2017,596.2096144845,"E","","0"
"Egypt",818,"Interannual variability (WRI)",4541,2017,1.4,"I","","0"
"Egypt",818,"Seasonal variability (WRI)",4542,2017,2.5,"I","","0"
"Egypt",818,"Dam capacity per capita",4471,2017,1744.0090758242,"E","","0"
"El Salvador",222,"National Rainfall Index (NRI)",4472,2017,1434.0,"I","","0"
"El Salvador",222,"Total internal renewable water resources per capita",4158,2017,2446.7269430816,"E","","0"
"El Salvador",222,"Dependency ratio",4192,2017,40.5024743053,"E","","0"
"El Salvador",222,"Total renewable water resources per capita",4190,2017,4112.3171333815,"E","","0"
"El Salvador",222,"Interannual variability (WRI)",4541,2017,1.5,"I","","0"
"El Salvador",222,"Seasonal variability (WRI)",4542,2017,3.5,"I","","0"
"El Salvador",222,"Dam capacity per capita",4471,2017,607.220333475,"E","","0"
"Equatorial Guinea",226,"National Rainfall Index (NRI)",4472,2017,2447.0,"I","","0"
"Equatorial Guinea",226,"Total internal renewable water resources per capita",4158,2017,20602.1860504183,"E","","0"
"Equatorial Guinea",226,"Dependency ratio",4192,2017,0.0,"E","","0"
"Equatorial Guinea",226,"Total renewable water resources per capita",4190,2017,20602.1860504183,"E","","0"
"Equatorial Guinea",226,"Interannual variability (WRI)",4541,2017,0.8,"I","","0"
"Equatorial Guinea",226,"Seasonal variability (WRI)",4542,2017,2.5,"I","","0"
"Eritrea",232,"National Rainfall Index (NRI)",4472,2017,333.0,"I","","0"
"Eritrea",232,"Total internal renewable water resources per capita",4158,2017,820.4183371703,"E","","0"
"Eritrea",232,"Dependency ratio",4192,2017,61.7224880383,"E","","0"
"Eritrea",232,"Total renewable water resources per capita",4190,2017,2143.3429058573,"E","","0"
"Eritrea",232,"Interannual variability (WRI)",4541,2017,4.3,"I","","0"
"Eritrea",232,"Seasonal variability (WRI)",4542,2017,3.8,"I","","0"
"Eritrea",232,"Dam capacity per capita",4471,2017,12.9245188759,"E","","0"
"Estonia",233,"National Rainfall Index (NRI)",4472,2017,621.4,"I","","0"
"Estonia",233,"Total internal renewable water resources per capita",4158,2017,9633.2396031499,"E","","0"
"Estonia",233,"Dependency ratio",4192,2017,0.7496486022,"E","","0"
"Estonia",233,"Total renewable water resources per capita",4190,2017,9706.0005002312,"E","","0"
"Estonia",233,"Interannual variability (WRI)",4541,2017,2.1,"I","","0"
"Estonia",233,"Seasonal variability (WRI)",4542,2017,1.2,"I","","0"
"Estonia",233,"Dam capacity per capita",4471,2017,138.3214970555,"E","","0"
"Eswatini",748,"National Rainfall Index (NRI)",4472,2017,648.0,"I","","0"
"Eswatini",748,"Total internal renewable water resources per capita",4158,2017,2347.0734927387,"E","","0"
"Eswatini",748,"Dependency ratio",4192,2017,41.4634146341,"E","","0"
"Eswatini",748,"Total renewable water resources per capita",4190,2017,4009.5838834287,"E","","0"
"Eswatini",748,"Interannual variability (WRI)",4541,2017,4.2,"I","","0"
"Eswatini",748,"Seasonal variability (WRI)",4542,2017,2.8,"I","","0"
"Eswatini",748,"Dam capacity per capita",4471,2017,520.0812585293,"E","","0"
"Ethiopia",231,"National Rainfall Index (NRI)",4472,2017,1073.0,"I","","0"
"Ethiopia",231,"Total internal renewable water resources per capita",4158,2017,1146.6173603658,"E","","0"
"Ethiopia",231,"Dependency ratio",4192,2017,0.0,"E","","0"
"Ethiopia",231,"Total renewable water resources per capita",4190,2017,1146.6173603658,"E","","0"
"Ethiopia",231,"Interannual variability (WRI)",4541,2017,1.8,"I","","0"
"Ethiopia",231,"Seasonal variability (WRI)",4542,2017,3.3,"I","","0"
"Ethiopia",231,"Dam capacity per capita",4471,2017,295.902466998,"E","","0"
"Faroe Islands",234,"Dependency ratio",4192,2017,0.0,"","","6433"
"Faroe Islands",234,"Total renewable water resources per capita",4190,2017,0.0,"E","","0"
"Fiji",242,"National Rainfall Index (NRI)",4472,2017,2376.0,"I","","0"
"Fiji",242,"Total internal renewable water resources per capita",4158,2017,32537.1327891104,"E","","0"
"Fiji",242,"Dependency ratio",4192,2017,0.0,"E","","0"
"Fiji",242,"Total renewable water resources per capita",4190,2017,32537.1327891104,"E","","0"
"Fiji",242,"Dam capacity per capita",4471,2017,151.6150612165,"E","","0"
"Finland",246,"National Rainfall Index (NRI)",4472,2017,518.3,"I","","0"
"Finland",246,"Total internal renewable water resources per capita",4158,2017,19414.4070504417,"E","","0"
"Finland",246,"Dependency ratio",4192,2017,2.7272727273,"E","","0"
"Finland",246,"Total renewable water resources per capita",4190,2017,19958.7362200803,"E","","0"
"Finland",246,"Interannual variability (WRI)",4541,2017,1.9,"I","","0"
"Finland",246,"Seasonal variability (WRI)",4542,2017,1.2,"I","","0"
"Finland",246,"Dam capacity per capita",4471,2017,3375.3851809287,"E","","0"
"France",250,"National Rainfall Index (NRI)",4472,2017,818.0,"I","","0"
"France",250,"Total internal renewable water resources per capita",4158,2017,3084.3963795417,"E","","0"
"France",250,"Dependency ratio",4192,2017,5.2132701422,"E","","0"
"France",250,"Total renewable water resources per capita",4190,2017,3254.0381804165,"E","","0"
"France",250,"Interannual variability (WRI)",4541,2017,1.2,"I","","0"
"France",250,"Seasonal variability (WRI)",4542,2017,1.5,"I","","0"
"France",250,"Dam capacity per capita",4471,2017,153.9314279156,"E","","0"
"Gabon",266,"National Rainfall Index (NRI)",4472,2017,1842.0,"I","","0"
"Gabon",266,"Total internal renewable water resources per capita",4158,2017,79425.6941151857,"E","","0"
"Gabon",266,"Dependency ratio",4192,2017,1.2048192771,"E","","0"
"Gabon",266,"Total renewable water resources per capita",4190,2017,80394.3001409806,"E","","0"
"Gabon",266,"Interannual variability (WRI)",4541,2017,0.9,"I","","0"
"Gabon",266,"Seasonal variability (WRI)",4542,2017,2.1,"I","","0"
"Gabon",266,"Dam capacity per capita",4471,2017,106.5466628374,"E","","0"
"Gambia",270,"National Rainfall Index (NRI)",4472,2017,598.4,"I","","0"
"Gambia",270,"Total internal renewable water resources per capita",4158,2017,1355.0814878253,"E","","0"
"Gambia",270,"Dependency ratio",4192,2017,62.5,"E","","0"
"Gambia",270,"Total renewable water resources per capita",4190,2017,3613.5506342007,"E","","0"
"Gambia",270,"Interannual variability (WRI)",4541,2017,2.0,"I","","0"
"Gambia",270,"Seasonal variability (WRI)",4542,2017,4.6,"I","","0"
"Georgia",268,"National Rainfall Index (NRI)",4472,2017,1140.0,"I","","0"
"Georgia",268,"Total internal renewable water resources per capita",4158,2017,14500.9025333798,"E","","0"
"Georgia",268,"Dependency ratio",4192,2017,8.2109584715,"E","","0"
"Georgia",268,"Total renewable water resources per capita",4190,2017,15798.0759924125,"E","","0"
"Georgia",268,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Georgia",268,"Seasonal variability (WRI)",4542,2017,1.9,"I","","0"
"Georgia",268,"Dam capacity per capita",4471,2017,851.6193214985,"E","","0"
"Germany",276,"National Rainfall Index (NRI)",4472,2017,835.5,"I","","0"
"Germany",276,"Total internal renewable water resources per capita",4158,2017,1294.4841461926,"E","","0"
"Germany",276,"Dependency ratio",4192,2017,30.5194805195,"E","","0"
"Germany",276,"Total renewable water resources per capita",4190,2017,1863.0893319033,"E","","0"
"Germany",276,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Germany",276,"Seasonal variability (WRI)",4542,2017,0.8,"I","","0"
"Germany",276,"Dam capacity per capita",4471,2017,48.3919306988,"E","","0"
"Ghana",288,"National Rainfall Index (NRI)",4472,2017,1112.0,"I","","0"
"Ghana",288,"Total internal renewable water resources per capita",4158,2017,1040.4696329666,"E","","0"
"Ghana",288,"Dependency ratio",4192,2017,46.0854092527,"E","","0"
"Ghana",288,"Total renewable water resources per capita",4190,2017,1929.8479660965,"E","","0"
"Ghana",288,"Interannual variability (WRI)",4541,2017,1.4,"I","","0"
"Ghana",288,"Seasonal variability (WRI)",4542,2017,3.0,"I","","0"
"Ghana",288,"Dam capacity per capita",4471,2017,5099.4814306217,"E","","0"
"Greece",300,"National Rainfall Index (NRI)",4472,2017,597.8,"I","","0"
"Greece",300,"Total internal renewable water resources per capita",4158,2017,5487.5135413858,"E","","0"
"Greece",300,"Dependency ratio",4192,2017,15.2046783626,"E","","0"
"Greece",300,"Total renewable water resources per capita",4190,2017,6471.4814867377,"E","","0"
"Greece",300,"Interannual variability (WRI)",4541,2017,1.7,"I","","0"
"Greece",300,"Seasonal variability (WRI)",4542,2017,2.5,"I","","0"
"Greece",300,"Dam capacity per capita",4471,2017,1165.8127906372,"E","","0"
"Grenade",308,"Total internal renewable water resources per capita",4158,2017,1803.8494146509,"E","","0"
"Grenade",308,"Dependency ratio",4192,2017,0.0,"","","6433"
"Grenade",308,"Total renewable water resources per capita",4190,2017,1803.8494146509,"E","","0"
"Grenade",308,"Dam capacity per capita",4471,2017,0.1984234356,"E","","0"
"Guatemala",320,"National Rainfall Index (NRI)",4472,2017,2216.0,"I","","0"
"Guatemala",320,"Total internal renewable water resources per capita",4158,2017,6455.8199039076,"E","","0"
"Guatemala",320,"Dependency ratio",4192,2017,14.6274724416,"E","","0"
"Guatemala",320,"Total renewable water resources per capita",4190,2017,7561.9406951357,"E","","0"
"Guatemala",320,"Interannual variability (WRI)",4541,2017,1.0,"I","","0"
"Guatemala",320,"Seasonal variability (WRI)",4542,2017,3.1,"I","","0"
"Guatemala",320,"Dam capacity per capita",4471,2017,27.4218700358,"E","","0"
"Guinea",324,"National Rainfall Index (NRI)",4472,2017,1638.0,"I","","0"
"Guinea",324,"Total internal renewable water resources per capita",4158,2017,18727.9589118526,"E","","0"
"Guinea",324,"Dependency ratio",4192,2017,0.0,"E","","0"
"Guinea",324,"Total renewable water resources per capita",4190,2017,18727.9589118526,"E","","0"
"Guinea",324,"Interannual variability (WRI)",4541,2017,0.9,"I","","0"
"Guinea",324,"Seasonal variability (WRI)",4542,2017,4.0,"I","","0"
"Guinea",324,"Dam capacity per capita",4471,2017,152.2268164649,"E","","0"
"Guinea-Bissau",624,"National Rainfall Index (NRI)",4472,2017,1223.0,"I","","0"
"Guinea-Bissau",624,"Total internal renewable water resources per capita",4158,2017,8752.0410033121,"E","","0"
"Guinea-Bissau",624,"Dependency ratio",4192,2017,49.0445859873,"E","","0"
"Guinea-Bissau",624,"Total renewable water resources per capita",4190,2017,17175.880469,"E","","0"
"Guinea-Bissau",624,"Interannual variability (WRI)",4541,2017,1.5,"I","","0"
"Guinea-Bissau",624,"Seasonal variability (WRI)",4542,2017,4.6,"I","","0"
"Guinea-Bissau",624,"Dam capacity per capita",4471,2017,0.0,"I","","0"
"Guyana",328,"National Rainfall Index (NRI)",4472,2017,2177.0,"I","","0"
"Guyana",328,"Total internal renewable water resources per capita",4158,2017,310878.690233249,"E","","0"
"Guyana",328,"Dependency ratio",4192,2017,11.0701107011,"E","","0"
"Guyana",328,"Total renewable water resources per capita",4190,2017,349577.282378467,"E","","0"
"Guyana",328,"Interannual variability (WRI)",4541,2017,1.6,"I","","0"
"Guyana",328,"Seasonal variability (WRI)",4542,2017,2.1,"I","","0"
"Guyana",328,"Dam capacity per capita",4471,2017,1043.7655278101,"E","","0"
"Haiti",332,"National Rainfall Index (NRI)",4472,2017,1226.0,"I","","0"
"Haiti",332,"Total internal renewable water resources per capita",4158,2017,1184.3531712565,"E","","0"
"Haiti",332,"Dependency ratio",4192,2017,7.2386250178,"E","","0"
"Haiti",332,"Total renewable water resources per capita",4190,2017,1276.774057612,"E","","0"
"Haiti",332,"Interannual variability (WRI)",4541,2017,2.4,"I","","0"
"Haiti",332,"Seasonal variability (WRI)",4542,2017,1.9,"I","","0"
"Haiti",332,"Dam capacity per capita",4471,2017,27.0433529533,"E","","0"
"Holy See",336,"Total renewable water resources per capita",4190,2017,0.0,"E","","0"
"Holy See",336,"Interannual variability (WRI)",4541,2017,1.4,"I","","0"
"Holy See",336,"Seasonal variability (WRI)",4542,2017,2.0,"I","","0"
"Honduras",340,"National Rainfall Index (NRI)",4472,2017,1618.0,"I","","0"
"Honduras",340,"Total internal renewable water resources per capita",4158,2017,9615.0042427558,"E","","0"
"Honduras",340,"Dependency ratio",4192,2017,1.6318736166,"E","","0"
"Honduras",340,"Total renewable water resources per capita",4190,2017,9774.5119239946,"E","","0"
"Honduras",340,"Interannual variability (WRI)",4541,2017,1.3,"I","","0"
"Honduras",340,"Seasonal variability (WRI)",4542,2017,2.9,"I","","0"
"Honduras",340,"Dam capacity per capita",4471,2017,615.6165019605,"E","","0"
"Hungary",348,"National Rainfall Index (NRI)",4472,2017,587.5,"I","","0"
"Hungary",348,"Total internal renewable water resources per capita",4158,2017,616.6607552881,"E","","0"
"Hungary",348,"Dependency ratio",4192,2017,94.2307692308,"E","","0"
"Hungary",348,"Total renewable water resources per capita",4190,2017,10688.7864249946,"E","","0"
"Hungary",348,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Hungary",348,"Seasonal variability (WRI)",4542,2017,0.6,"I","","0"
"Hungary",348,"Dam capacity per capita",4471,2017,26.3519696093,"E","","0"
"Iceland",352,"National Rainfall Index (NRI)",4472,2017,923.4,"I","","0"
"Iceland",352,"Total internal renewable water resources per capita",4158,2017,508383.847748009,"E","","0"
"Iceland",352,"Dependency ratio",4192,2017,0.0,"E","","0"
"Iceland",352,"Total renewable water resources per capita",4190,2017,508383.847748009,"E","","0"
"Iceland",352,"Interannual variability (WRI)",4541,2017,1.0,"I","","0"
"Iceland",352,"Seasonal variability (WRI)",4542,2017,0.8,"I","","0"
"Iceland",352,"Dam capacity per capita",4471,2017,6896.3764193628,"E","","0"
"India",356,"National Rainfall Index (NRI)",4472,2017,1502.0,"I","","0"
"India",356,"Total internal renewable water resources per capita",4158,2017,1080.1711183779,"E","","0"
"India",356,"Dependency ratio",4192,2017,30.5208533538,"E","","0"
"India",356,"Total renewable water resources per capita",4190,2017,1427.4543500058,"E","","0"
"India",356,"Interannual variability (WRI)",4541,2017,1.7,"I","","0"
"India",356,"Seasonal variability (WRI)",4542,2017,4.2,"I","","0"
"India",356,"Dam capacity per capita",4471,2017,184.8561633703,"E","","0"
"Indonesia",360,"National Rainfall Index (NRI)",4472,2017,2929.0,"I","","0"
"Indonesia",360,"Total internal renewable water resources per capita",4158,2017,7627.7825597786,"E","","0"
"Indonesia",360,"Dependency ratio",4192,2017,0.0,"E","","0"
"Indonesia",360,"Total renewable water resources per capita",4190,2017,7627.7825597786,"E","","0"
"Indonesia",360,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Indonesia",360,"Seasonal variability (WRI)",4542,2017,1.9,"I","","0"
"Indonesia",360,"Dam capacity per capita",4471,2017,90.6882624871,"E","","0"
"Iran (Islamic Republic of)",364,"National Rainfall Index (NRI)",4472,2017,207.1,"I","","0"
"Iran (Islamic Republic of)",364,"Total internal renewable water resources per capita",4158,2017,1592.8327139032,"E","","0"
"Iran (Islamic Republic of)",364,"Dependency ratio",4192,2017,6.7725904161,"E","","0"
"Iran (Islamic Republic of)",364,"Total renewable water resources per capita",4190,2017,1698.7529904814,"E","","0"
"Iran (Islamic Republic of)",364,"Interannual variability (WRI)",4541,2017,2.3,"I","","0"
"Iran (Islamic Republic of)",364,"Seasonal variability (WRI)",4542,2017,1.8,"I","","0"
"Iran (Islamic Republic of)",364,"Dam capacity per capita",4471,2017,550.8820246076,"E","","0"
"Iraq",368,"National Rainfall Index (NRI)",4472,2017,225.0,"I","","0"
"Iraq",368,"Total internal renewable water resources per capita",4158,2017,937.3473565114,"E","","0"
"Iraq",368,"Dependency ratio",4192,2017,60.827954596,"E","","0"
"Iraq",368,"Total renewable water resources per capita",4190,2017,2392.8986777304,"E","","0"
"Iraq",368,"Interannual variability (WRI)",4541,2017,1.6,"I","","0"
"Iraq",368,"Seasonal variability (WRI)",4542,2017,2.5,"I","","0"
"Iraq",368,"Dam capacity per capita",4471,2017,4042.3104749552,"E","","0"
"Ireland",372,"National Rainfall Index (NRI)",4472,2017,1202.0,"I","","0"
"Ireland",372,"Total internal renewable water resources per capita",4158,2017,10308.6732337824,"E","","0"
"Ireland",372,"Dependency ratio",4192,2017,5.7692307692,"E","","0"
"Ireland",372,"Total renewable water resources per capita",4190,2017,10939.8164929936,"E","","0"
"Ireland",372,"Interannual variability (WRI)",4541,2017,0.8,"I","","0"
"Ireland",372,"Seasonal variability (WRI)",4542,2017,1.8,"I","","0"
"Ireland",372,"Dam capacity per capita",4471,2017,182.8211640848,"E","","0"
"Israel",376,"National Rainfall Index (NRI)",4472,2017,391.6,"I","","0"
"Israel",376,"Total internal renewable water resources per capita",4158,2017,90.9769321317,"E","","0"
"Israel",376,"Dependency ratio",4192,2017,57.8651685393,"E","","0"
"Israel",376,"Total renewable water resources per capita",4190,2017,215.9185855926,"E","","0"
"Israel",376,"Interannual variability (WRI)",4541,2017,2.7,"I","","0"
"Israel",376,"Seasonal variability (WRI)",4542,2017,3.0,"I","","0"
"Italy",380,"National Rainfall Index (NRI)",4472,2017,830.2,"I","","0"
"Italy",380,"Total internal renewable water resources per capita",4158,2017,3007.8929913967,"E","","0"
"Italy",380,"Dependency ratio",4192,2017,4.6001045478,"E","","0"
"Italy",380,"Total renewable water resources per capita",4190,2017,3152.931119201,"E","","0"
"Italy",380,"Interannual variability (WRI)",4541,2017,1.4,"I","","0"
"Italy",380,"Seasonal variability (WRI)",4542,2017,1.5,"I","","0"
"Italy",380,"Dam capacity per capita",4471,2017,165.6005787417,"E","","0"
"Jamaica",388,"National Rainfall Index (NRI)",4472,2017,1328.0,"I","","0"
"Jamaica",388,"Total internal renewable water resources per capita",4158,2017,3705.4307516173,"E","","0"
"Jamaica",388,"Dependency ratio",4192,2017,0.0,"E","","0"
"Jamaica",388,"Total renewable water resources per capita",4190,2017,3705.4307516173,"E","","0"
"Jamaica",388,"Dam capacity per capita",4471,2017,1.8658964794,"E","","0"
"Japan",392,"National Rainfall Index (NRI)",4472,2017,1578.0,"I","","0"
"Japan",392,"Total internal renewable water resources per capita",4158,2017,3372.4769411791,"E","","0"
"Japan",392,"Dependency ratio",4192,2017,0.0,"E","","0"
"Japan",392,"Total renewable water resources per capita",4190,2017,3372.4769411791,"E","","0"
"Japan",392,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Japan",392,"Seasonal variability (WRI)",4542,2017,1.7,"I","","0"
"Japan",392,"Dam capacity per capita",4471,2017,246.8454693811,"E","","0"
"Jordan",400,"National Rainfall Index (NRI)",4472,2017,148.8,"I","","0"
"Jordan",400,"Total internal renewable water resources per capita",4158,2017,69.6925139715,"E","","0"
"Jordan",400,"Dependency ratio",4192,2017,27.2145144077,"E","","0"
"Jordan",400,"Total renewable water resources per capita",4190,2017,95.7505653831,"E","","0"
"Jordan",400,"Interannual variability (WRI)",4541,2017,2.6,"I","","0"
"Jordan",400,"Seasonal variability (WRI)",4542,2017,2.6,"I","","0"
"Jordan",400,"Dam capacity per capita",4471,2017,28.0936450748,"E","","0"
"Kazakhstan",398,"National Rainfall Index (NRI)",4472,2017,274.5,"I","","0"
"Kazakhstan",398,"Total internal renewable water resources per capita",4158,2017,3559.1776756429,"E","","0"
"Kazakhstan",398,"Dependency ratio",4192,2017,40.6420071949,"E","","0"
"Kazakhstan",398,"Total renewable water resources per capita",4190,2017,5996.1220173496,"E","","0"
"Kazakhstan",398,"Interannual variability (WRI)",4541,2017,2.3,"I","","0"
"Kazakhstan",398,"Seasonal variability (WRI)",4542,2017,3.1,"I","","0"
"Kazakhstan",398,"Dam capacity per capita",4471,2017,4421.8371673171,"E","","0"
"Kenya",404,"National Rainfall Index (NRI)",4472,2017,902.1,"I","","0"
"Kenya",404,"Total internal renewable water resources per capita",4158,2017,412.1770070462,"E","","0"
"Kenya",404,"Dependency ratio",4192,2017,32.5732899023,"E","","0"
"Kenya",404,"Total renewable water resources per capita",4190,2017,611.2963341216,"E","","0"
"Kenya",404,"Interannual variability (WRI)",4541,2017,3.2,"I","","0"
"Kenya",404,"Seasonal variability (WRI)",4542,2017,1.9,"I","","0"
"Kenya",404,"Dam capacity per capita",4471,2017,493.522727938,"E","","0"
"Kiribati",296,"Dependency ratio",4192,2017,0.0,"","","6433"
"Kiribati",296,"Total renewable water resources per capita",4190,2017,0.0,"E","","0"
"Kuwait",414,"National Rainfall Index (NRI)",4472,2017,67.35,"I","","0"
"Kuwait",414,"Total internal renewable water resources per capita",4158,2017,0.0,"E","","0"
"Kuwait",414,"Dependency ratio",4192,2017,100.0,"E","","0"
"Kuwait",414,"Total renewable water resources per capita",4190,2017,4.9308461159,"E","","0"
"Kuwait",414,"Interannual variability (WRI)",4541,2017,2.7,"I","","0"
"Kuwait",414,"Seasonal variability (WRI)",4542,2017,0.4,"I","","0"
"Kyrgyzstan",417,"National Rainfall Index (NRI)",4472,2017,372.5,"I","","0"
"Kyrgyzstan",417,"Total internal renewable water resources per capita",4158,2017,7905.0259518464,"E","","0"
"Kyrgyzstan",417,"Dependency ratio",4192,2017,1.1275460718,"E","","0"
"Kyrgyzstan",417,"Total renewable water resources per capita",4190,2017,3815.6734708912,"E","","0"
"Kyrgyzstan",417,"Interannual variability (WRI)",4541,2017,2.4,"I","","0"
"Kyrgyzstan",417,"Seasonal variability (WRI)",4542,2017,2.7,"I","","0"
"Kyrgyzstan",417,"Dam capacity per capita",4471,2017,3807.9186937466,"E","","0"
"Lao People's Democratic Republic",418,"National Rainfall Index (NRI)",4472,2017,1933.0,"I","","0"
"Lao People's Democratic Republic",418,"Total internal renewable water resources per capita",4158,2017,27383.7252365334,"E","","0"
"Lao People's Democratic Republic",418,"Dependency ratio",4192,2017,42.9085457271,"E","","0"
"Lao People's Democratic Republic",418,"Total renewable water resources per capita",4190,2017,47964.6657898313,"E","","0"
"Lao People's Democratic Republic",418,"Interannual variability (WRI)",4541,2017,0.9,"I","","0"
"Lao People's Democratic Republic",418,"Seasonal variability (WRI)",4542,2017,3.6,"I","","0"
"Lao People's Democratic Republic",418,"Dam capacity per capita",4471,2017,1527.3905567856,"E","","0"
"Latvia",428,"National Rainfall Index (NRI)",4472,2017,605.4,"I","","0"
"Latvia",428,"Total internal renewable water resources per capita",4158,2017,8682.2951396061,"E","","0"
"Latvia",428,"Dependency ratio",4192,2017,51.5168860904,"E","","0"
"Latvia",428,"Total renewable water resources per capita",4190,2017,17907.8743906633,"E","","0"
"Latvia",428,"Interannual variability (WRI)",4541,2017,1.5,"I","","0"
"Latvia",428,"Seasonal variability (WRI)",4542,2017,1.0,"I","","0"
"Latvia",428,"Dam capacity per capita",4471,2017,515.0948415174,"E","","0"
"Lebanon",422,"National Rainfall Index (NRI)",4472,2017,557.5,"I","","0"
"Lebanon",422,"Total internal renewable water resources per capita",4158,2017,703.8770279907,"E","","0"
"Lebanon",422,"Dependency ratio",4192,2017,0.7854485325,"E","","0"
"Lebanon",422,"Total renewable water resources per capita",4190,2017,660.3246368838,"E","","0"
"Lebanon",422,"Interannual variability (WRI)",4541,2017,2.0,"I","","0"
"Lebanon",422,"Seasonal variability (WRI)",4542,2017,3.4,"I","","0"
"Lebanon",422,"Dam capacity per capita",4471,2017,33.4341588296,"E","","0"
"Lesotho",426,"National Rainfall Index (NRI)",4472,2017,734.9,"I","","0"
"Lesotho",426,"Total internal renewable water resources per capita",4158,2017,2500.5570074405,"E","","0"
"Lesotho",426,"Dependency ratio",4192,2017,0.0,"E","","0"
"Lesotho",426,"Total renewable water resources per capita",4190,2017,1444.8725194044,"E","","0"
"Lesotho",426,"Interannual variability (WRI)",4541,2017,3.2,"I","","0"
"Lesotho",426,"Seasonal variability (WRI)",4542,2017,1.9,"I","","0"
"Lesotho",426,"Dam capacity per capita",4471,2017,1373.821797781,"E","","0"
"Liberia",430,"National Rainfall Index (NRI)",4472,2017,2413.0,"I","","0"
"Liberia",430,"Total internal renewable water resources per capita",4158,2017,42533.0471142816,"E","","0"
"Liberia",430,"Dependency ratio",4192,2017,13.7931034483,"E","","0"
"Liberia",430,"Total renewable water resources per capita",4190,2017,49338.3346525667,"E","","0"
"Liberia",430,"Interannual variability (WRI)",4541,2017,0.8,"I","","0"
"Liberia",430,"Seasonal variability (WRI)",4542,2017,2.8,"I","","0"
"Liberia",430,"Dam capacity per capita",4471,2017,50.7419252073,"E","","0"
"Libya",434,"National Rainfall Index (NRI)",4472,2017,140.6,"I","","0"
"Libya",434,"Total internal renewable water resources per capita",4158,2017,106.37127465,"E","","0"
"Libya",434,"Dependency ratio",4192,2017,0.0,"E","","0"
"Libya",434,"Total renewable water resources per capita",4190,2017,106.37127465,"E","","0"
"Libya",434,"Interannual variability (WRI)",4541,2017,2.7,"I","","0"
"Libya",434,"Seasonal variability (WRI)",4542,2017,1.4,"I","","0"
"Libya",434,"Dam capacity per capita",4471,2017,59.2472803904,"E","","0"
"Liechtenstein",438,"Total renewable water resources per capita",4190,2017,0.0,"E","","0"
"Liechtenstein",438,"Interannual variability (WRI)",4541,2017,0.8,"I","","0"
"Liechtenstein",438,"Seasonal variability (WRI)",4542,2017,0.9,"I","","0"
"Lithuania",440,"National Rainfall Index (NRI)",4472,2017,585.4,"I","","0"
"Lithuania",440,"Total internal renewable water resources per capita",4158,2017,5433.3042573067,"E","","0"
"Lithuania",440,"Dependency ratio",4192,2017,36.8979591837,"E","","0"
"Lithuania",440,"Total renewable water resources per capita",4190,2017,8610.3463327305,"E","","0"
"Lithuania",440,"Interannual variability (WRI)",4541,2017,1.1,"I","","0"
"Lithuania",440,"Seasonal variability (WRI)",4542,2017,0.9,"I","","0"
"Lithuania",440,"Dam capacity per capita",4471,2017,174.0344287334,"E","","0"
"Luxembourg",442,"Total internal renewable water resources per capita",4158,2017,1689.4460306466,"E","","0"
"Luxembourg",442,"Dependency ratio",4192,2017,71.4285714286,"E","","0"
"Luxembourg",442,"Total renewable water resources per capita",4190,2017,5913.0611072629,"E","","0"
"Luxembourg",442,"Interannual variability (WRI)",4541,2017,1.2,"I","","0"
"Luxembourg",442,"Seasonal variability (WRI)",4542,2017,1.5,"I","","0"
"Luxembourg",442,"Dam capacity per capita",4471,2017,104.7456539001,"E","","0"
"Madagascar",450,"National Rainfall Index (NRI)",4472,2017,1541.0,"I","","0"
"Madagascar",450,"Total internal renewable water resources per capita",4158,2017,13179.2433409233,"E","","0"
"Madagascar",450,"Dependency ratio",4192,2017,0.0,"E","","0"
"Madagascar",450,"Total renewable water resources per capita",4190,2017,13179.2433409233,"E","","0"
"Madagascar",450,"Interannual variability (WRI)",4541,2017,1.4,"I","","0"
"Madagascar",450,"Seasonal variability (WRI)",4542,2017,3.5,"I","","0"
"Madagascar",450,"Dam capacity per capita",4471,2017,19.2980101454,"E","","0"
"Malawi",454,"National Rainfall Index (NRI)",4472,2017,1125.0,"I","","0"
"Malawi",454,"Total internal renewable water resources per capita",4158,2017,913.4024319821,"E","","0"
"Malawi",454,"Dependency ratio",4192,2017,6.5972222222,"E","","0"
"Malawi",454,"Total renewable water resources per capita",4190,2017,977.9178453935,"E","","0"
"Malawi",454,"Interannual variability (WRI)",4541,2017,1.6,"I","","0"
"Malawi",454,"Seasonal variability (WRI)",4542,2017,3.8,"I","","0"
"Malawi",454,"Dam capacity per capita",4471,2017,2.3630184974,"E","","0"
"Malaysia",458,"National Rainfall Index (NRI)",4472,2017,3194.0,"I","","0"
"Malaysia",458,"Total internal renewable water resources per capita",4158,2017,18646.7320669716,"E","","0"
"Malaysia",458,"Dependency ratio",4192,2017,0.0,"E","","0"
"Malaysia",458,"Total renewable water resources per capita",4190,2017,18646.7320669716,"E","","0"
"Malaysia",458,"Interannual variability (WRI)",4541,2017,1.0,"I","","0"
"Malaysia",458,"Seasonal variability (WRI)",4542,2017,1.7,"I","","0"
